FechaAnalisis	Modelo	ArchivoJSON	EstadoJSON	Link	Periódico	Fecha	Titular	Título	Subtítulo	Categoría	cb	cb_score	cb_label	Motivo	RespuestaAgente
2026-05-16T01:25:14	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\ABC.json	añadida	https://www.abc.es/espana/correos-activo-protocolo-documentacion-falsa-medio-mes-20260515010950-nt.html	ABC	2026-05-16	Correos no activó un protocolo contra la documentación falsa hasta medio mes después de iniciar la regularización	Correos no activó un protocolo contra la documentación falsa hasta medio mes después de iniciar la regularización	El conjunto de las oficinas de la empresa pública han registrado durante dos semanas unas 3.500 solicitudes diarias, sin tener en su manual de apoyo esta nueva medida que busca ayudar a detectar a los inmigrantes que quieran acceder al proceso de forma fraudulenta	Nacional	False	0.95	NO Clickbait	El titular es informativo y describe con precisión el retraso en la activación del protocolo, sin exageración ni promesas vagas.	Veredicto: NO CLICKBAIT | Confianza: 0.95 | Motivo: El titular es informativo y describe con precisión el retraso en la activación del protocolo, sin exageración ni promesas vagas.
2026-05-16T01:25:22	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\ABC.json	añadida	https://www.abc.es/espana/moncloa-saca-inmigracion-ilegal-mayores-riesgos-seguridad-20260516011038-nt.html	ABC	2026-05-16	Moncloa saca la inmigración ilegal de los mayores riesgos contra la seguridad nacional	Moncloa saca la inmigración ilegal de los mayores riesgos contra la seguridad nacional	Desde 2023 ocupaba el tercer lugar y ahora desciende al noveno puesto	Nacional	True	0.88	Clickbait	Titular sensacionalista y exagerado, presenta la inmigración ilegal como 'mayores riesgos contra la seguridad nacional' sin matizar, creando alarma y curiosidad artificial que no se corresponde con el contenido que indica una caída de riesgo.	Veredicto: CLICKBAIT | Confianza: 0.88 | Motivo: Titular sensacionalista y exagerado, presenta la inmigración ilegal como “mayores riesgos contra la seguridad nacional” sin matizar, creando alarma y curiosidad artificial que no se corresponde con el contenido que indica una caída de riesgo.
2026-05-16T01:25:31	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\ABC.json	añadida	https://www.abc.es/espana/interior-reanuda-expulsion-argelinos-plena-regularizacion-inmigrantes-20260512011049-nt.html	ABC	2026-05-16	Interior reanuda la expulsión de argelinos en plena regularización de inmigrantes	Interior reanuda la expulsión de argelinos en plena regularización de inmigrantes	La repatriación de ciudadanos de Argelia llevaba meses paralizada por el conflicto diplomático a consecuencia del cambio de postura de España por el Sahara	Nacional	False	0.95	NO Clickbait	El titular es informativo y describe la medida sin exageración ni promesas vagas; coincide con el contenido.	Veredicto: NO CLICKBAIT | Confianza: 0.95 | Motivo: El titular es informativo y describe la medida sin exageración ni promesas vagas; coincide con el contenido.
2026-05-16T01:25:50	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\ABC.json	añadida	https://www.abc.es/espana/andalucia/cordoba/cordoba-cf/notas-jugadores-cordoba-tras-20260515145010-nts.html	ABC	2026-05-16	Las notas de los jugadores del Córdoba CF tras la derrota ante el Albacete	Las notas de los jugadores del Córdoba CF tras la derrota ante el Albacete	Los pupilos de Iván Ania dieron lucha durante todo el encuentro, pero las desconexiones defensivas y la falta de eficacia resultan lapidarias para extender la racha triunfal	Nacional	False	0.94	NO Clickbait	El titular es descriptivo y concreto, informa directamente sobre las notas de los jugadores tras la derrota sin exageración ni promesas vagas.	Veredicto: NO CLICKBAIT | Confianza: 0.94 | Motivo: El titular es descriptivo y concreto, informa directamente sobre las notas de los jugadores tras la derrota sin exageración ni promesas vagas.
2026-05-16T01:25:58	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\ABC.json	añadida	https://www.abc.es/espana/justicia-reconoce-5000-plazas-siguen-adjudicar-caos-20260514010818-nt.html	ABC	2026-05-16	Justicia reconoce que más de 5.000 plazas siguen sin adjudicar por el «caos» de la reforma Bolaños	Justicia reconoce que más de 5.000 plazas siguen sin adjudicar por el «caos» de la reforma Bolaños	El retraso en la resolución de los procesos selectivos provoca que muchos aprobados lleven dos años en un limbo	Nacional	False	0.94	NO Clickbait	El titular es informativo y describe factual‑mente la falta de adjudicación de plazas, sin exageración ni promesas vagas.	Veredicto: NO CLICKBAIT | Confianza: 0.94 | Motivo: El titular informa de forma concreta sobre la falta de adjudicación de más de 5.000 plazas y atribuye el retraso al “caos” de la reforma, sin exageraciones ni promesas vagas.
2026-05-16T01:26:05	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\ABC.json	añadida	https://www.abc.es/cultura/toros/manuel-diosleguarde-llevo-anos-preparandome-confirmar-espero-20260516010604-nt.html	ABC	2026-05-16	Manuel Diosleguarde: «Si no fuese capaz de entregar mi vida como antes de la cornada, me quitaría»	Manuel Diosleguarde: «Si no fuese capaz de entregar mi vida como antes de la cornada, me quitaría»	El salmantino confirma este sábado tras años de espera, una grave cornada y una lucha por volver a hacerse un hueco en las ferias	Cultura	False	0.92	NO Clickbait	El titular es una cita directa del torero, informativa y proporcional al contenido; no exagera ni crea curiosidad artificial.	Veredicto: NO CLICKBAIT | Confianza: 0.92 | Motivo: El titular es una cita directa del torero, informativa y proporcional al contenido; no exagera ni crea curiosidad artificial.
2026-05-16T01:26:14	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\ABC.json	añadida	https://www.abc.es/cultura/margaryta-yakovenko-libro-nace-rabia-intensa-rabia-20260513010443-nt.html	ABC	2026-05-16	Margaryta Yakovenko: «Yo no puedo coger un fusil y combatir por Ucrania, solo puedo gritar»	Margaryta Yakovenko: «Yo no puedo coger un fusil y combatir por Ucrania, solo puedo gritar»	Tras publicar su primera novela, 'Desencajada', la escritora regresa con 'Ocupación' (Seix Barral), una memoria familiar que golpea con la fuerza de un desahogo	Cultura	False	0.9	NO Clickbait	El titular es una cita directa y descriptiva, sin exageración ni promesas vagas; refleja fielmente el contenido de la entrevista.	Veredicto: NO CLICKBAIT | Confianza: 0.9 | Motivo: El titular es una cita directa y descriptiva, sin exageración ni promesas vagas; refleja fielmente el contenido de la entrevista.
2026-05-16T01:26:24	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\ABC.json	añadida	https://www.abc.es/cultura/salon-comic-imparable-gigante-caja-zapatos-20260515010422-nt.html	ABC	2026-05-16	Abre el Salón del Cómic de Barcelona, un gigante en una caja de zapatos	Abre el Salón del Cómic de Barcelona, un gigante en una caja de zapatos	El ministro de Cultura inaugura el evento en un espacio más reducido, pero vibrante como siempre, con autores como Shintaro Kago y Bianca Bangnarelli	Cultura	False	0.92	NO Clickbait	El titular es descriptivo y metafórico, sin exageración engañosa ni promesas no cumplidas; refleja el contenido sobre el evento reducido de espacio.	Veredicto: NO CLICKBAIT | Confianza: 0.92 | Motivo: El titular es descriptivo y metafórico, sin exageración engañosa ni promesas no cumplidas; refleja el contenido sobre el evento reducido de espacio.
2026-05-16T01:26:32	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\ABC.json	añadida	https://www.abc.es/cultura/toros/sevilla/retorno-morante-roca-rey-jerez-salda-triunfo-20260515224204-nts.html	ABC	2026-05-15	El retorno de Morante y Roca Rey en Jerez se salda con el triunfo del peruano	El retorno de Morante y Roca Rey en Jerez se salda con el triunfo del peruano	Sebastián Castella corta una oreja en un festejo marcado por el escaso juego del encierro de Jandilla	Cultura	False	0.94	NO Clickbait	El titular es informativo y describe el hecho sin exageración ni promesas vagas; coincide con el contenido que relata el retorno de los toreros y el triunfo del peruano.	Veredicto: NO CLICKBAIT | Confianza: 0.94 | Motivo: El titular informa de forma concreta el retorno de Morante y Roca Rey y el triunfo del peruano, sin exageración, ambigüedad ni promesas no cumplidas, y coincide con el contenido de la noticia.
2026-05-16T01:26:32	openai/gpt-oss-120b:free	C:\Users\marti\Documents\Codigo-Master-Datos\NLP\ProyectoNLP\ProyectoNLP\agente\data\ABC.json	pendiente: error LLM	https://www.abc.es/cultura/toros/dia-san-isidro-urdiales-20260515214119-nt.html	ABC	2026-05-15	El gozo de pecar en una corrida emocionantísima	El gozo de pecar en una corrida emocionantísima	Fortes deleita al natural tras caer herido y corta una oreja en la cuarta Puerta Grande de Adrián con un conjunto del Torero de muy seria presencia y juego	Cultura			SIN CLASIFICAR	"OpenRouterDefaultError: API error occurred: Status 403. Body: {""error"":{""message"":""openai/gpt-oss-120b:free requires moderation on OpenInference. Your input was flagged for \""violence/graphic\"". No credits were charged."",""code"":403,""metadata"":{""reasons"":[""violence/graphic""],""flagged_input"":""\nEres un agente de PLN especializado en detectar c...on idéntica entrega frente a un animal que vol...\n"",""provider_name"":null,""model_slug"":""openai/gpt-oss-120b:free""}},""user_id"":""user_3DR5zwOIkqEJIZHKGa0qGl8tlNd""}"	
